
2024/08/04 (20:24:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/04 (20:24:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/04 (21:42:23) | ===> btop++ v.1.3.0
2024/08/04 (21:42:23) | INFO: Logger set to INFO
2024/08/04 (21:42:23) | INFO: Running on /dev/pts/1
2024/08/04 (21:42:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/04 (21:44:39) | INFO: Quitting! Runtime: 00:02:16

2024/08/05 (00:13:52) | ===> btop++ v.1.3.0
2024/08/05 (00:13:52) | INFO: Logger set to INFO
2024/08/05 (00:13:52) | INFO: Running on /dev/pts/1
2024/08/05 (00:13:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/05 (10:54:23) | ===> btop++ v.1.3.0
2024/08/05 (10:54:23) | INFO: Logger set to INFO
2024/08/05 (10:54:23) | INFO: Running on /dev/pts/1
2024/08/05 (10:54:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/05 (14:08:06) | ERROR: Stall in Runner thread, restarting!

2024/08/05 (16:33:08) | ===> btop++ v.1.3.0
2024/08/05 (16:33:08) | INFO: Logger set to INFO
2024/08/05 (16:33:08) | INFO: Running on /dev/pts/1
2024/08/05 (16:33:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/05 (16:33:11) | INFO: Quitting! Runtime: 00:00:03

2024/08/06 (00:58:35) | ===> btop++ v.1.3.0
2024/08/06 (00:58:35) | INFO: Logger set to INFO
2024/08/06 (00:58:35) | INFO: Running on /dev/pts/1
2024/08/06 (00:58:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/06 (01:08:02) | ===> btop++ v.1.3.0
2024/08/06 (01:08:02) | INFO: Logger set to INFO
2024/08/06 (01:08:02) | INFO: Running on /dev/pts/1
2024/08/06 (01:08:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/06 (12:33:58) | ===> btop++ v.1.3.0
2024/08/06 (12:33:58) | INFO: Logger set to INFO
2024/08/06 (12:33:58) | INFO: Running on /dev/pts/2
2024/08/06 (12:33:59) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/06 (12:35:32) | INFO: Quitting! Runtime: 00:01:34

2024/08/07 (13:40:12) | ===> btop++ v.1.3.0
2024/08/07 (13:40:12) | INFO: Logger set to INFO
2024/08/07 (13:40:12) | INFO: Running on /dev/pts/3
2024/08/07 (13:40:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/07 (14:08:48) | ERROR: Stall in Runner thread, restarting!

2024/08/07 (15:15:14) | ===> btop++ v.1.3.0
2024/08/07 (15:15:14) | INFO: Logger set to INFO
2024/08/07 (15:15:14) | INFO: Running on /dev/pts/6
2024/08/07 (15:15:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/07 (15:15:55) | INFO: Quitting! Runtime: 00:00:41

2024/08/07 (15:18:30) | ===> btop++ v.1.3.0
2024/08/07 (15:18:30) | INFO: Logger set to INFO
2024/08/07 (15:18:30) | INFO: Running on /dev/pts/6
2024/08/07 (15:18:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/07 (15:19:58) | ===> btop++ v.1.3.0
2024/08/07 (15:19:58) | INFO: Logger set to INFO
2024/08/07 (15:19:58) | INFO: Running on /dev/pts/7
2024/08/07 (15:19:59) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/07 (15:21:15) | INFO: Quitting! Runtime: 00:01:17

2024/08/07 (16:15:16) | ===> btop++ v.1.3.0
2024/08/07 (16:15:16) | INFO: Logger set to INFO
2024/08/07 (16:15:16) | INFO: Running on /dev/pts/5
2024/08/07 (16:15:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/07 (16:36:53) | INFO: Quitting! Runtime: 00:21:37

2024/08/07 (16:58:50) | ===> btop++ v.1.3.0
2024/08/07 (16:58:50) | INFO: Logger set to INFO
2024/08/07 (16:58:50) | INFO: Running on /dev/pts/8
2024/08/07 (16:58:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/07 (16:59:01) | INFO: Quitting! Runtime: 00:00:11

2024/08/07 (17:00:25) | ===> btop++ v.1.3.0
2024/08/07 (17:00:25) | INFO: Logger set to INFO
2024/08/07 (17:00:25) | INFO: Running on /dev/pts/9
2024/08/07 (17:00:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/07 (17:01:56) | ===> btop++ v.1.3.0
2024/08/07 (17:01:56) | INFO: Logger set to INFO
2024/08/07 (17:01:56) | INFO: Running on /dev/pts/5
2024/08/07 (17:01:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/07 (17:38:54) | ===> btop++ v.1.3.0
2024/08/07 (17:38:54) | INFO: Logger set to INFO
2024/08/07 (17:38:54) | INFO: Running on /dev/pts/5
2024/08/07 (17:38:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/07 (17:54:00) | INFO: Quitting! Runtime: 00:15:06
2024/08/07 (17:54:06) | INFO: Quitting! Runtime: 00:53:41

2024/08/07 (18:20:08) | ===> btop++ v.1.3.0
2024/08/07 (18:20:08) | INFO: Logger set to INFO
2024/08/07 (18:20:08) | INFO: Running on /dev/pts/2
2024/08/07 (18:20:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/07 (18:20:22) | INFO: Quitting! Runtime: 00:00:14

2024/08/07 (18:49:28) | ===> btop++ v.1.3.0
2024/08/07 (18:49:28) | INFO: Logger set to INFO
2024/08/07 (18:49:28) | INFO: Running on /dev/pts/2
2024/08/07 (18:49:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/07 (20:46:00) | ===> btop++ v.1.3.0
2024/08/07 (20:46:00) | INFO: Logger set to INFO
2024/08/07 (20:46:00) | INFO: Running on /dev/pts/2
2024/08/07 (20:46:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/07 (23:56:03) | ===> btop++ v.1.3.0
2024/08/07 (23:56:03) | INFO: Logger set to INFO
2024/08/07 (23:56:03) | INFO: Running on /dev/pts/2
2024/08/07 (23:56:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/08 (15:20:14) | ===> btop++ v.1.3.0
2024/08/08 (15:20:14) | INFO: Logger set to INFO
2024/08/08 (15:20:14) | INFO: Running on /dev/pts/1
2024/08/08 (15:20:15) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/08 (15:20:18) | INFO: Quitting! Runtime: 00:00:04

2024/08/08 (15:20:23) | ===> btop++ v.1.3.0
2024/08/08 (15:20:23) | INFO: Logger set to INFO
2024/08/08 (15:20:23) | INFO: Running on /dev/pts/1
2024/08/08 (15:20:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/08 (15:20:32) | INFO: Quitting! Runtime: 00:00:09

2024/08/08 (16:24:58) | ===> btop++ v.1.3.0
2024/08/08 (16:24:58) | INFO: Logger set to INFO
2024/08/08 (16:24:58) | INFO: Running on /dev/pts/2
2024/08/08 (16:24:59) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/08 (16:26:07) | INFO: Quitting! Runtime: 00:01:09

2024/08/08 (18:34:47) | ===> btop++ v.1.3.0
2024/08/08 (18:34:47) | INFO: Logger set to INFO
2024/08/08 (18:34:47) | INFO: Running on /dev/pts/2
2024/08/08 (18:34:48) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/08 (18:38:22) | INFO: Quitting! Runtime: 00:03:35

2024/08/08 (22:22:24) | ===> btop++ v.1.3.0
2024/08/08 (22:22:24) | INFO: Logger set to INFO
2024/08/08 (22:22:24) | INFO: Running on /dev/pts/2
2024/08/08 (22:22:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/08 (22:22:29) | INFO: Quitting! Runtime: 00:00:05

2024/08/08 (22:29:26) | ===> btop++ v.1.3.0
2024/08/08 (22:29:26) | INFO: Logger set to INFO
2024/08/08 (22:29:26) | INFO: Running on /dev/pts/2
2024/08/08 (22:29:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/08 (22:29:41) | INFO: Quitting! Runtime: 00:00:15

2024/08/09 (10:34:10) | ===> btop++ v.1.3.0
2024/08/09 (10:34:10) | INFO: Logger set to INFO
2024/08/09 (10:34:10) | INFO: Running on /dev/pts/2
2024/08/09 (10:34:11) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/09 (11:22:46) | ===> btop++ v.1.3.0
2024/08/09 (11:22:46) | INFO: Logger set to INFO
2024/08/09 (11:22:46) | INFO: Running on /dev/pts/6
2024/08/09 (11:22:47) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/09 (11:42:23) | INFO: Quitting! Runtime: 01:08:13

2024/08/09 (12:58:23) | ===> btop++ v.1.3.0
2024/08/09 (12:58:23) | INFO: Logger set to INFO
2024/08/09 (12:58:23) | INFO: Running on /dev/pts/2
2024/08/09 (12:58:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/09 (12:58:49) | INFO: Quitting! Runtime: 00:00:26

2024/08/09 (16:02:56) | ===> btop++ v.1.3.0
2024/08/09 (16:02:56) | INFO: Logger set to INFO
2024/08/09 (16:02:56) | INFO: Running on /dev/pts/1
2024/08/09 (16:02:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/09 (16:07:05) | INFO: Quitting! Runtime: 00:04:09

2024/08/09 (16:14:27) | ===> btop++ v.1.3.0
2024/08/09 (16:14:27) | INFO: Logger set to INFO
2024/08/09 (16:14:27) | INFO: Running on /dev/pts/2
2024/08/09 (16:14:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/09 (16:22:43) | ===> btop++ v.1.3.0
2024/08/09 (16:22:43) | INFO: Logger set to INFO
2024/08/09 (16:22:43) | INFO: Running on /dev/pts/1
2024/08/09 (16:22:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/09 (16:22:53) | INFO: Quitting! Runtime: 00:00:10

2024/08/09 (17:41:22) | ===> btop++ v.1.3.0
2024/08/09 (17:41:22) | INFO: Logger set to INFO
2024/08/09 (17:41:22) | INFO: Running on /dev/pts/1
2024/08/09 (17:41:23) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/09 (17:56:32) | ===> btop++ v.1.3.0
2024/08/09 (17:56:32) | INFO: Logger set to INFO
2024/08/09 (17:56:32) | INFO: Running on /dev/pts/1
2024/08/09 (17:56:34) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/09 (17:58:45) | ===> btop++ v.1.3.0
2024/08/09 (17:58:45) | INFO: Logger set to INFO
2024/08/09 (17:58:45) | INFO: Running on /dev/pts/2
2024/08/09 (17:58:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/09 (17:59:08) | ===> btop++ v.1.3.0
2024/08/09 (17:59:08) | INFO: Logger set to INFO
2024/08/09 (17:59:08) | INFO: Running on /dev/pts/2
2024/08/09 (17:59:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/09 (17:59:12) | INFO: Quitting! Runtime: 00:00:04
2024/08/09 (18:04:31) | ERROR: Stall in Runner thread, restarting!

2024/08/09 (18:33:57) | ===> btop++ v.1.3.0
2024/08/09 (18:33:57) | INFO: Logger set to INFO
2024/08/09 (18:33:57) | INFO: Running on /dev/pts/1
2024/08/09 (18:33:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/09 (18:35:51) | ===> btop++ v.1.3.0
2024/08/09 (18:35:51) | INFO: Logger set to INFO
2024/08/09 (18:35:51) | INFO: Running on /dev/pts/1
2024/08/09 (18:35:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/09 (18:37:26) | ===> btop++ v.1.3.0
2024/08/09 (18:37:26) | INFO: Logger set to INFO
2024/08/09 (18:37:26) | INFO: Running on /dev/pts/1
2024/08/09 (18:37:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/09 (18:37:30) | INFO: Quitting! Runtime: 00:00:04

2024/08/09 (18:48:43) | ===> btop++ v.1.3.0
2024/08/09 (18:48:43) | INFO: Logger set to INFO
2024/08/09 (18:48:43) | INFO: Running on /dev/pts/2
2024/08/09 (18:48:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/09 (18:49:10) | INFO: Quitting! Runtime: 00:00:27

2024/08/10 (14:12:51) | ===> btop++ v.1.3.0
2024/08/10 (14:12:51) | INFO: Logger set to INFO
2024/08/10 (14:12:51) | INFO: Running on /dev/pts/1
2024/08/10 (14:12:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/10 (14:13:08) | INFO: Quitting! Runtime: 00:00:17

2024/08/10 (17:23:32) | ===> btop++ v.1.3.0
2024/08/10 (17:23:32) | INFO: Logger set to INFO
2024/08/10 (17:23:32) | INFO: Running on /dev/pts/2
2024/08/10 (17:23:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/10 (17:54:42) | ===> btop++ v.1.3.0
2024/08/10 (17:54:42) | INFO: Logger set to INFO
2024/08/10 (17:54:42) | INFO: Running on /dev/pts/2
2024/08/10 (17:54:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/10 (18:00:20) | ===> btop++ v.1.3.0
2024/08/10 (18:00:20) | INFO: Logger set to INFO
2024/08/10 (18:00:20) | INFO: Running on /dev/pts/1
2024/08/10 (18:00:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/10 (18:01:45) | INFO: Quitting! Runtime: 00:01:25

2024/08/10 (22:51:21) | ===> btop++ v.1.3.0
2024/08/10 (22:51:21) | INFO: Logger set to INFO
2024/08/10 (22:51:21) | INFO: Running on /dev/pts/3
2024/08/10 (22:51:22) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/11 (16:55:25) | ===> btop++ v.1.3.0
2024/08/11 (16:55:25) | INFO: Logger set to INFO
2024/08/11 (16:55:25) | INFO: Running on /dev/pts/1
2024/08/11 (16:55:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/11 (19:45:57) | ===> btop++ v.1.3.0
2024/08/11 (19:45:57) | INFO: Logger set to INFO
2024/08/11 (19:45:57) | INFO: Running on /dev/pts/1
2024/08/11 (19:45:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/11 (22:58:26) | ===> btop++ v.1.3.0
2024/08/11 (22:58:26) | INFO: Logger set to INFO
2024/08/11 (22:58:26) | INFO: Running on /dev/pts/2
2024/08/11 (22:58:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/11 (23:02:36) | INFO: Quitting! Runtime: 00:04:10

2024/08/12 (18:12:26) | ===> btop++ v.1.3.0
2024/08/12 (18:12:26) | INFO: Logger set to INFO
2024/08/12 (18:12:26) | INFO: Running on /dev/pts/1
2024/08/12 (18:12:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/12 (18:12:38) | INFO: Quitting! Runtime: 00:00:12

2024/08/13 (14:45:25) | ===> btop++ v.1.3.0
2024/08/13 (14:45:25) | INFO: Logger set to INFO
2024/08/13 (14:45:25) | INFO: Running on /dev/pts/4
2024/08/13 (14:45:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/13 (16:08:01) | ===> btop++ v.1.3.0
2024/08/13 (16:08:01) | INFO: Logger set to INFO
2024/08/13 (16:08:01) | INFO: Running on /dev/pts/3
2024/08/13 (16:08:02) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/13 (16:08:06) | INFO: Quitting! Runtime: 00:00:05

2024/08/13 (20:43:36) | ===> btop++ v.1.3.0
2024/08/13 (20:43:36) | INFO: Logger set to INFO
2024/08/13 (20:43:36) | INFO: Running on /dev/pts/1

2024/08/13 (20:45:19) | ===> btop++ v.1.3.0
2024/08/13 (20:45:19) | INFO: Logger set to INFO
2024/08/13 (20:45:19) | INFO: Running on /dev/pts/1

2024/08/13 (20:45:26) | ===> btop++ v.1.3.0
2024/08/13 (20:45:26) | INFO: Logger set to INFO
2024/08/13 (20:45:26) | INFO: Running on /dev/pts/1

2024/08/14 (15:31:37) | ===> btop++ v.1.3.0
2024/08/14 (15:31:37) | INFO: Logger set to INFO
2024/08/14 (15:31:37) | INFO: Running on /dev/pts/1
2024/08/14 (15:31:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/14 (16:00:58) | INFO: Quitting! Runtime: 00:29:21

2024/08/14 (16:15:06) | ===> btop++ v.1.3.0
2024/08/14 (16:15:06) | INFO: Logger set to INFO
2024/08/14 (16:15:06) | INFO: Running on /dev/pts/1
2024/08/14 (16:15:08) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/14 (16:16:03) | INFO: Quitting! Runtime: 00:00:57

2024/08/14 (18:03:19) | ===> btop++ v.1.3.0
2024/08/14 (18:03:19) | INFO: Logger set to INFO
2024/08/14 (18:03:19) | INFO: Running on /dev/tty3
2024/08/14 (18:03:19) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2024/08/14 (18:03:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/14 (18:10:23) | INFO: Quitting! Runtime: 00:07:04

2024/08/14 (18:48:40) | ===> btop++ v.1.3.0
2024/08/14 (18:48:40) | INFO: Logger set to INFO
2024/08/14 (18:48:40) | INFO: Running on /dev/pts/1
2024/08/14 (18:48:41) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/14 (19:26:51) | ===> btop++ v.1.3.0
2024/08/14 (19:26:51) | INFO: Logger set to INFO
2024/08/14 (19:26:51) | INFO: Running on /dev/pts/1
2024/08/14 (19:26:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/14 (19:27:24) | INFO: Quitting! Runtime: 00:00:33

2024/08/15 (15:48:40) | ===> btop++ v.1.3.0
2024/08/15 (15:48:40) | INFO: Logger set to INFO
2024/08/15 (15:48:40) | INFO: Running on /dev/tty3
2024/08/15 (15:48:40) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2024/08/15 (15:48:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/15 (15:48:46) | INFO: Quitting! Runtime: 00:00:06

2024/08/15 (15:49:04) | ===> btop++ v.1.3.0
2024/08/15 (15:49:04) | INFO: Logger set to INFO
2024/08/15 (15:49:04) | INFO: Running on /dev/tty3
2024/08/15 (15:49:04) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2024/08/15 (15:49:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/15 (18:05:19) | ===> btop++ v.1.3.0
2024/08/15 (18:05:19) | INFO: Logger set to INFO
2024/08/15 (18:05:19) | INFO: Running on /dev/pts/1
2024/08/15 (18:05:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/15 (18:06:52) | ===> btop++ v.1.3.0
2024/08/15 (18:06:52) | INFO: Logger set to INFO
2024/08/15 (18:06:52) | INFO: Running on /dev/pts/2
2024/08/15 (18:06:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/15 (18:32:55) | ===> btop++ v.1.3.0
2024/08/15 (18:32:55) | INFO: Logger set to INFO
2024/08/15 (18:32:55) | INFO: Running on /dev/pts/3
2024/08/15 (18:32:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/15 (18:34:30) | INFO: Quitting! Runtime: 00:01:35

2024/08/16 (12:51:06) | ===> btop++ v.1.3.0
2024/08/16 (12:51:06) | INFO: Logger set to INFO
2024/08/16 (12:51:06) | INFO: Running on /dev/pts/4
2024/08/16 (12:51:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/16 (12:51:09) | ===> btop++ v.1.3.0
2024/08/16 (12:51:09) | INFO: Logger set to INFO
2024/08/16 (12:51:09) | INFO: Running on /dev/pts/4
2024/08/16 (12:51:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/16 (12:51:39) | INFO: Quitting! Runtime: 00:00:30

2024/08/16 (22:51:16) | ===> btop++ v.1.3.0
2024/08/16 (22:51:16) | INFO: Logger set to INFO
2024/08/16 (22:51:16) | INFO: Running on /dev/pts/1
2024/08/16 (22:51:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/17 (12:13:23) | ===> btop++ v.1.3.0
2024/08/17 (12:13:23) | INFO: Logger set to INFO
2024/08/17 (12:13:23) | INFO: Running on /dev/pts/1
2024/08/17 (12:13:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/17 (12:32:22) | ===> btop++ v.1.3.0
2024/08/17 (12:32:22) | INFO: Logger set to INFO
2024/08/17 (12:32:22) | INFO: Running on /dev/pts/1
2024/08/17 (12:32:23) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/17 (14:16:32) | ===> btop++ v.1.3.0
2024/08/17 (14:16:32) | INFO: Logger set to INFO
2024/08/17 (14:16:32) | INFO: Running on /dev/pts/1
2024/08/17 (14:16:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/17 (23:40:00) | ===> btop++ v.1.3.0
2024/08/17 (23:40:00) | INFO: Logger set to INFO
2024/08/17 (23:40:00) | INFO: Running on /dev/pts/1
2024/08/17 (23:40:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/17 (23:41:56) | INFO: Quitting! Runtime: 00:01:56

2024/08/19 (21:49:42) | ===> btop++ v.1.3.0
2024/08/19 (21:49:42) | INFO: Logger set to INFO
2024/08/19 (21:49:42) | INFO: Running on /dev/pts/2
2024/08/19 (21:49:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/20 (12:56:09) | ===> btop++ v.1.3.0
2024/08/20 (12:56:09) | INFO: Logger set to INFO
2024/08/20 (12:56:09) | INFO: Running on /dev/tty3
2024/08/20 (12:56:09) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2024/08/20 (12:56:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/20 (12:56:38) | INFO: Quitting! Runtime: 00:00:29

2024/08/20 (16:53:33) | ===> btop++ v.1.3.0
2024/08/20 (16:53:33) | INFO: Logger set to INFO
2024/08/20 (16:53:33) | INFO: Running on /dev/tty3
2024/08/20 (16:53:33) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2024/08/20 (16:53:34) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/20 (16:54:14) | ===> btop++ v.1.3.0
