
2024/07/24 (17:43:48) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/24 (17:43:51) | ===> btop++ v.1.3.0
2024/07/24 (17:43:51) | INFO: Logger set to INFO
2024/07/24 (17:43:51) | INFO: Running on /dev/pts/1
2024/07/24 (17:43:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/24 (17:56:18) | ===> btop++ v.1.3.0
2024/07/24 (17:56:18) | INFO: Logger set to INFO
2024/07/24 (17:56:18) | INFO: Running on /dev/pts/4
2024/07/24 (17:56:19) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/24 (17:57:25) | ===> btop++ v.1.3.0
2024/07/24 (17:57:25) | INFO: Logger set to INFO
2024/07/24 (17:57:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:25) | INFO: Running on /dev/pts/2
2024/07/24 (17:57:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/24 (17:57:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/24 (17:57:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
